key,ko,en,vi,comment
"common.ok","확인","OK","OK","Dialog button"
"language.changed","AIPS 언어가 변경되었습니다. 열린 창은 다시 그려지면 새 언어가 반영됩니다.","AIPS language changed. Open windows update on repaint.","Ngon ngu AIPS da thay doi. Cua so dang mo se cap nhat khi ve lai.","Unity language menu confirmation"
"worker.connected","Unity 워커 연결됨","Unity worker connected","Unity worker da ket noi","Unity toolbar tooltip"
"worker.disconnected","Unity 워커 연결 안 됨","Unity worker disconnected","Unity worker chua ket noi","Unity toolbar tooltip"
"worker.disabled","Unity 워커 비활성화됨","Unity worker disabled","Unity worker da tat","Unity toolbar tooltip"
"queue.upload.title","Upload Queue","Upload Queue","Upload Queue","Unity queue window title"
"queue.download.title","Download Queue","Download Queue","Download Queue","Unity queue window title"
"queue.counts","대기: {0}  완료: {1}  실패: {2}  건너뜀: {3}","Pending: {0}  Done: {1}  Failed: {2}  Skipped: {3}","Dang cho: {0}  Hoan tat: {1}  Loi: {2}  Bo qua: {3}","Unity toolbar queue tooltip"
"queue.headerCounts","대기 {0} · 완료 {1} · 실패 {2} · 건너뜀 {3}","Pending {0} · Done {1} · Failed {2} · Skipped {3}","Dang cho {0} · Hoan tat {1} · Loi {2} · Bo qua {3}","Unity queue header"
"queue.emptyUpload","업로드할 항목이 없습니다.","There are no items to upload.","Khong co muc nao de tai len.","Unity upload queue empty"
"queue.emptyDownload","다운로드할 항목이 없습니다.","There are no items to download.","Khong co muc nao de tai xuong.","Unity download queue empty"
"queue.noSavedLogin","저장된 로그인이 없습니다.","No saved login was found.","Khong tim thay dang nhap da luu.","Unity queue connection state"
"queue.serverRetry","서버가 실행 중인지 확인한 뒤 다시 시도하세요.","Check that the server is running, then try again.","Hay kiem tra may chu dang chay, sau do thu lai.","Unity queue connection state"
"queue.serverDisconnected","서버 연결 안 됨: {0}","Server not connected: {0}","May chu chua ket noi: {0}","Unity queue connection state"
"status.validating","확인 중","Validating","Dang kiem tra","Status label"
"status.uploading","업로드 중","Uploading","Dang tai len","Status label"
"status.uploaded","업로드 완료","Uploaded","Da tai len","Status label"
"status.downloading","다운로드 중","Downloading","Dang tai xuong","Status label"
"status.installing","설치 중","Installing","Dang cai dat","Status label"
"status.installed","설치 완료","Installed","Da cai dat","Status label"
"status.failed","실패","Failed","Loi","Status label"
"status.skipped","건너뜀","Skipped","Bo qua","Status label"
"status.pending","대기","Pending","Dang cho","Status label"
"status.queued","대기 중","Queued","Trong hang doi","Status label"
"status.running","진행 중","Running","Dang chay","Status label"
"status.completed","완료","Completed","Hoan tat","Status label"
"hub.checking","AIPS 서버 연결 상태를 확인하는 중입니다.","Checking AIPS server connection.","Dang kiem tra ket noi may chu AIPS.","Unity Hub"
"hub.connectionUnknown","AIPS 서버 연결 상태를 확인하지 못했습니다.","Could not check the AIPS server connection.","Khong the kiem tra ket noi may chu AIPS.","Unity Hub"
"hub.workerDisconnected","Unity 워커가 AIPS 서버에 연결되지 않았습니다.","The Unity worker is not connected to the AIPS server.","Unity worker chua ket noi voi may chu AIPS.","Unity Hub"
"hub.openStudioDescription","AI Playable Studio 홈을 엽니다.","Open the AI Playable Studio home.","Mo trang chu AI Playable Studio.","Unity Hub action"
"hub.openContentStoreDescription","웹에서 콘텐츠를 탐색하고 현재 Unity 프로젝트에 설치합니다.","Browse content on the web and install it into the current Unity project.","Duyet noi dung tren web va cai vao du an Unity hien tai.","Unity Hub action"
"hub.manageProjectContentDescription","Unity 프로젝트의 로컬 콘텐츠와 서버 등록 상태를 관리합니다.","Manage local content and server registration status for this Unity project.","Quan ly noi dung cuc bo va trang thai dang ky may chu cua du an Unity nay.","Unity Hub action"
"hub.refreshCatalogDescription","로컬 content catalog asset과 JSON authority를 다시 생성합니다.","Regenerate the local content catalog asset and JSON authority.","Tao lai content catalog asset cuc bo va JSON authority.","Unity Hub action"
"hub.catalogRefreshed","Generated Content Catalog를 갱신했습니다.","Generated Content Catalog was refreshed.","Da lam moi Generated Content Catalog.","Unity Hub dialog"
"hub.topImagesDescription","등록된 content prefab의 top image를 캡처해 선택한 폴더로 export합니다.","Capture top images for registered content prefabs and export them to the selected folder.","Chup top image cho content prefab da dang ky va export vao thu muc da chon.","Unity Hub action"
"hub.reconnectDescription","AIPS worker 연결을 다시 시도합니다.","Retry the AIPS worker connection.","Thu ket noi lai AIPS worker.","Unity Hub action"
"hub.connected","AIPS 서버에 연결되어 있습니다.","Connected to the AIPS server.","Da ket noi voi may chu AIPS.","Unity Hub"
